"cluster","mag_id","NMDS1","NMDS2","NMDS3","NMDS4","NMDS5","NMDS6","NMDS7","NMDS8","NMDS9","NMDS10","NMDS11","NMDS12","NMDS13","NMDS14","NMDS15","NMDS16","NMDS17","NMDS18","NMDS19","NMDS20","bin_id","sample_id","domain","phylum","class","order","family","genus","species","phylum2"
5,"L036_bin.10",0.419232445072048,-0.351883457062509,0.118042753526884,0.179094388934862,-0.44120083179311,-0.0402828172704099,0.195935756650735,0.237085834841466,-0.155972940385788,-0.0161951449932913,-0.0378068435616251,-0.140460981075315,0.131952004912534,-0.154066910714232,0.171066732707102,0.0458625704150497,-0.00715972067637262,-0.0153608385714719,-0.0908979858622301,0.0305309201698309,"bin.10","L036","Bacteria","Desulfobacterota_I","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Solidesulfovibrio","","Desulfobacterota"
1,"L036_bin.11",-0.674861999895293,0.0357726696565877,-0.183506249157291,0.397886099528116,0.368473216956586,0.0468011069874553,0.280730313959757,0.217860659481466,-0.00179876016850606,0.0871953258313538,0.261922963696346,0.105306586559943,-0.102676057398777,-0.0565179856056604,-0.266373655282397,0.234068148715904,0.133862507070924,-0.0646877215661427,0.0523906747375908,0.0604147958014517,"bin.11","L036","Bacteria","Spirochaetota","Spirochaetia","Sphaerochaetales","Sphaerochaetaceae","JAAYFO01","JAAYFO01 sp012728215","Spirochaetota"
1,"L036_bin.17",-0.0957451572867327,-0.538596862415111,-0.365429242919146,-0.370657002828918,0.116085972509173,-0.454727186109028,0.00261730592455118,0.110097676695948,0.23001063479303,0.124416217469436,-0.0568984752027892,0.22466762011204,0.1114571190497,-0.109073119962404,-0.0662874936615421,0.0909120282371321,0.093916784803202,0.162600001974896,-0.0109768781530578,-0.111116161637884,"bin.17","L036","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia coccoides","Firmicutes"
1,"L036_bin.19",-0.39461464776542,-0.198044400052011,-0.0880974071618505,0.322124027141,-0.204998018478492,0.0566888076089011,-0.322023246465063,0.171008165646795,0.23963464005789,0.0443171380057979,0.0314200412528905,-0.114760924219251,-0.0194464522289618,0.0493464320060913,0.110007354342763,-0.0298379297050746,0.00709667444909358,-0.0291759478910089,0.00315364876378795,-0.129834714568093,"bin.19","L036","Bacteria","Synergistota","Synergistia","Synergistales","Synergistaceae","","","Synergistota"
1,"L036_bin.2",-0.0952914572429485,-0.468564237433981,-0.459966821894245,-0.254453625055475,0.0508519603550507,-0.344664850142082,0.00886424083569527,0.109299696155945,0.130384225846821,0.0413629481103027,-0.144404294471073,0.0584321714618912,-0.0181240932144749,-0.0219477900467003,-0.0882201046106277,-0.0445725305214654,0.153202580493268,0.0564207234338181,-0.119638997694013,-0.113451330195967,"bin.2","L036","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Hespellia","Hespellia stercorisuis","Firmicutes"
1,"L036_bin.20",-0.0231598643844219,-0.312829659519966,-0.426199626345227,-0.396705102340984,0.133798601287783,-0.107670149882319,0.10250365090601,0.154605441155804,-0.0935892950599063,-0.0573704996258412,-0.205734138399792,-0.130460779010148,-0.172311555041283,0.117460106028791,0.184290934875872,-0.202200491078075,-0.031118627181136,-0.0718080340392132,0.108815952689762,0.107530267705898,"bin.20","L036","Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Trichococcus","Trichococcus flocculiformis","Firmicutes"
5,"L036_bin.22",0.488053044923073,-0.404665800845973,0.131637583834872,0.218218610819588,-0.353259298285618,-0.126612233921352,0.199136067120061,0.339414769839532,-0.096872312615796,0.0681534314744339,-0.120394642268856,-0.108236520786553,0.122601523654872,-0.103971565622884,0.124694324710721,0.144495694493471,-0.0901826690687126,0.00379814878183198,-0.151301325908721,0.000596482332942549,"bin.22","L036","Bacteria","Desulfobacterota_I","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Solidesulfovibrio","Solidesulfovibrio alcoholivorans","Desulfobacterota"
3,"L036_bin.25",-0.122877023715881,0.265962865938618,0.220122483705217,-0.286903179753806,-0.0984328340099211,-0.351511730194099,0.110614865218816,0.012862401296698,-0.00640483105516263,-0.171543845305509,0.0977422378818034,-0.0996150142406044,0.0510308807203282,-0.0616864624978535,-0.0890554430271739,-0.168910701621987,0.0640671005486678,0.0524783717882568,0.123771305748728,0.065675613366282,"bin.25","L036","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Macellibacteroides","Macellibacteroides fermentans","Bacteroidota"
1,"L036_bin.3",-0.825344685994002,-0.0327666813187354,-0.311024276083699,0.365916291769576,0.618834817193665,0.172525432243144,0.424292065823746,0.0250085736481407,-0.339127384912146,0.137351011317729,-0.178972635679828,-0.182867803623702,0.106748486797953,-0.0589168818534462,0.0995047529345885,-0.141072118773406,-0.057612524082572,-0.10099281119723,0.176495318508282,-0.148691387533793,"bin.3","L036","Bacteria","Firmicutes","Bacilli","RFN20","CAG-826","Onthovivens","","Firmicutes"
1,"L036_bin.5",-0.271981453676946,-0.153467003542246,-0.251474938876851,0.0412618133656661,-0.258190311714682,0.0457061229524288,-0.154839386516158,-0.0763320696354564,0.0154546734243212,0.0517287131444467,-0.0212869529795814,-0.138618196485139,-0.138651112591005,0.0773868366304779,-0.14344018593802,-0.0328501240320533,-0.187033838022684,0.161760730363261,0.225216296531741,0.0608853378727473,"bin.5","L036","Bacteria","Firmicutes_C","Negativicutes","Acidaminococcales","Acidaminococcaceae","","","Firmicutes"
