"sample_id","mag_id","site","time","rel_abund","domain","phylum","class","order","family","genus","species","phylum2"
"L003","L003_bin.19","AD","Summer",0.633127078352374,"Bacteria","Firmicutes_A","Clostridia","Christensenellales","CAG-74","UBA1038","","Firmicutes"
"L003","L003_bin.22","AD","Summer",3.3168954026332,"Bacteria","Synergistota","Synergistia","Synergistales","Dethiosulfovibrionaceae","Pyramidobacter","Pyramidobacter piscolens_A","Synergistota"
"L003","L003_bin.25","AD","Summer",3.88201650717114,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","JAFGAQ01","JAFGAQ01","","Verrucomicrobiota"
"L003","L003_bin.29","AD","Summer",1.5757184022566,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","UBA932","RUG11257","RUG11257 sp012513425","Bacteroidota"
"L003","L003_bin.3","AD","Summer",22.6316767676483,"Bacteria","Fibrobacterota","Chitinivibrionia","Chitinivibrionales","Chitinispirillaceae","JAAYIG01","","Fibrobacterota"
"L003","L003_bin.31","AD","Summer",2.10266577293491,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Lentimicrobiaceae","Lentimicrobium","Lentimicrobium sp002410555","Bacteroidota"
"L003","L003_bin.7","AD","Summer",3.36661085022706,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Fermentimonas","Fermentimonas sp002398875","Bacteroidota"
"L003","L003_bin.9","AD","Summer",2.08725608479655,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","UBA932","DMER64","DMER64 sp002408205","Bacteroidota"
"L003","L036_bin.1","AD","Summer",7.49207552077197,"Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfobulbaceae","Desulfobulbus","","Desulfobacterota"
"L003","L036_bin.10","AD","Summer",0.23839970234256,"Bacteria","Desulfobacterota_I","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Solidesulfovibrio","","Desulfobacterota"
"L003","L036_bin.11","AD","Summer",0.922132958818105,"Bacteria","Spirochaetota","Spirochaetia","Sphaerochaetales","Sphaerochaetaceae","JAAYFO01","JAAYFO01 sp012728215","Spirochaetota"
"L003","L036_bin.17","AD","Summer",0.633965484307615,"Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia coccoides","Firmicutes"
"L003","L036_bin.19","AD","Summer",1.2906578186524,"Bacteria","Synergistota","Synergistia","Synergistales","Synergistaceae","","","Synergistota"
"L003","L036_bin.2","AD","Summer",0.321437800911317,"Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Hespellia","Hespellia stercorisuis","Firmicutes"
"L003","L036_bin.20","AD","Summer",0.697550115371316,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Trichococcus","Trichococcus flocculiformis","Firmicutes"
"L003","L036_bin.22","AD","Summer",0.0582646930368785,"Bacteria","Desulfobacterota_I","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Solidesulfovibrio","Solidesulfovibrio alcoholivorans","Desulfobacterota"
"L003","L036_bin.25","AD","Summer",0.888134119712834,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Macellibacteroides","Macellibacteroides fermentans","Bacteroidota"
"L003","L036_bin.5","AD","Summer",0.667159983608924,"Bacteria","Firmicutes_C","Negativicutes","Acidaminococcales","Acidaminococcaceae","","","Firmicutes"
"L003","L038_bin.11","AD","Summer",2.41882626158769,"Bacteria","Firmicutes_B","Syntrophomonadia","Syntrophomonadales","Syntrophomonadaceae","DTU018","","Firmicutes"
"L003","L038_bin.2","AD","Summer",0.283412233554093,"Bacteria","Firmicutes_A","Clostridia","Tissierellales","Peptoniphilaceae","JAAYQA01","","Firmicutes"
